,participant,cost,likelihood
828,55,cost_100,100.0
829,55,cost_200,80.0
830,55,cost_300,70.0
831,55,cost_400,70.0
832,55,cost_600,29.0
833,55,cost_700,0.0
834,56,cost_0,100.0
835,56,cost_25,100.0
836,56,cost_50,100.0
837,56,cost_100,100.0
838,56,cost_200,100.0
839,56,cost_300,100.0
840,56,cost_400,80.0
841,56,cost_500,70.0
842,56,cost_600,40.0
843,56,cost_700,30.0
844,56,cost_800,0.0
845,57,cost_0,100.0
846,57,cost_25,100.0
847,57,cost_50,100.0
848,57,cost_100,100.0
849,57,cost_200,100.0
850,57,cost_300,100.0
851,57,cost_400,100.0
852,57,cost_500,100.0
853,57,cost_600,100.0
854,57,cost_700,100.0
855,57,cost_800,100.0
856,57,cost_900,100.0
857,57,cost_1000,100.0
858,57,cost_1100,100.0
859,57,cost_1200,100.0
860,57,cost_1300,100.0
861,57,cost_1400,100.0
862,57,cost_1500,100.0
863,57,cost_1600,80.0
864,57,cost_1700,80.0
865,57,cost_1800,50.0
866,57,cost_1900,40.0
867,57,cost_2000,30.0
868,57,cost_2100,0.0
869,58,cost_0,100.0
870,58,cost_25,100.0
871,58,cost_50,100.0
872,58,cost_100,100.0
873,58,cost_200,76.0
874,58,cost_400,40.0
875,58,cost_500,0.0
876,59,cost_0,100.0
877,59,cost_25,100.0
878,59,cost_50,100.0
879,59,cost_100,80.0
880,59,cost_200,0.0
881,60,cost_0,100.0
882,60,cost_25,100.0
883,60,cost_50,100.0
884,60,cost_100,100.0
885,60,cost_200,100.0
886,60,cost_300,100.0
887,60,cost_400,100.0
888,60,cost_500,100.0
889,60,cost_600,71.0
890,60,cost_700,61.0
891,60,cost_800,59.0
892,60,cost_900,55.0
893,60,cost_1100,44.0
894,60,cost_1200,43.0
895,60,cost_1300,44.0
896,60,cost_1400,41.0
897,60,cost_1500,43.0
898,60,cost_1600,40.0
899,60,cost_1700,40.0
900,60,cost_1800,40.0
901,60,cost_1900,39.0
902,60,cost_2000,38.0
903,60,cost_2100,33.0
904,60,cost_2200,33.0
905,60,cost_2300,33.0
906,60,cost_2400,34.0
907,60,cost_2500,32.0
908,60,cost_2600,25.0
909,60,cost_2700,25.0
910,60,cost_2800,24.0
911,60,cost_2900,24.0
912,60,cost_3000,25.0
913,61,cost_0,80.0
914,61,cost_25,100.0
915,61,cost_50,100.0
916,61,cost_100,100.0
917,61,cost_200,100.0
918,61,cost_300,60.0
919,61,cost_400,20.0
920,61,cost_500,10.0
921,61,cost_600,0.0
922,62,cost_0,100.0
923,62,cost_25,100.0
924,62,cost_50,100.0
